Logistic Regression Test Results

Data File: /Users/cathalbreathnach/Documents/College/Final Year Eng/Machine Learning/Assignment 3/Java/CT475_Assignment3/illness_data.csv
Output File Name: illnessResults.txt

Data Entries: 375
Number of Features: 8
Data Split: 67%
Train Size: 251
Test Size: 124

Scaling: ZeroOne
Learning Rate: 0.3
Maximum Iterations: 30000
Convergence Tolerance: 0.00000001



Run: 1
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:positive 	Predicted:positive 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:positive 	Predicted:negative 	Incorrect
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:positive 	Incorrect
Expected:negative 	Predicted:negative 	Correct

Correct: 95 	Incorrect: 29
Accuracy: 76.613 % 


Run: 2
Expected:negative 	Predicted:negative 	Correct
Expected:negative 	Predicted:negative 	Correct
