Logistic Regression Test Results

Data File: /Users/cathalbreathnach/Documents/College/Final Year Eng/Machine Learning/Assignment 3/Java/CT475_Assignment3/owls15.csv
Output File Name: owlsResults.txt

Data Entries: 135
Number of Features: 4
Data Split: 67%
Train Size: 90
Test Size: 45

Scaling: ZeroOne
Learning Rate: 0.05
Maximum Iterations: 50000
Convergence Tolerance: 0.00000001



Run: 1
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:BarnOwl 	Incorrect
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:BarnOwl 	Incorrect
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:BarnOwl 	Incorrect
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct

Correct: 42 	Incorrect: 3
Accuracy: 93.333 % 


Run: 2
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:SnowyOwl 	Incorrect
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:SnowyOwl 	Predicted:BarnOwl 	Incorrect
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:BarnOwl 	Predicted:BarnOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
Expected:LongEaredOwl 	Predicted:LongEaredOwl 	Correct
Expected:SnowyOwl 	Predicted:SnowyOwl 	Correct
